t,x,y,v_kph
0.0,-20.0,-15.0,0.0
0.05,-19.99,-15.0,0.5
0.1,-19.98,-15.0,1.0
0.15,-19.96,-15.0,1.5
0.2,-19.93,-15.0,2.0
0.25,-19.89,-15.0,2.5
0.3,-19.85,-15.0,3.0
0.35,-19.8,-15.0,3.5
0.4,-19.75,-15.0,4.0
0.45,-19.68,-15.0,4.5
0.5,-19.61,-15.0,5.0
0.55,-19.54,-15.0,5.5
0.6,-19.45,-15.0,6.0
0.65,-19.36,-15.0,6.6
0.7,-19.26,-15.0,7.1
0.75,-19.16,-15.0,7.6
0.8,-19.05,-15.0,8.1
0.85,-18.93,-15.0,8.6
0.9,-18.8,-15.0,9.1
0.95,-18.67,-15.0,9.6
1.0,-18.53,-15.0,10.1
1.05,-18.38,-15.0,10.6
1.1,-18.23,-15.0,11.1
1.15,-18.07,-15.0,11.6
1.2,-17.9,-15.0,12.1
1.25,-17.72,-15.0,12.6
1.3,-17.54,-15.0,13.1
1.35,-17.35,-15.0,13.6
1.4,-17.16,-15.0,14.1
1.45,-16.95,-15.0,14.6
1.5,-16.74,-15.0,15.1
1.55,-16.53,-15.0,15.6
1.6,-16.3,-15.0,16.1
1.65,-16.07,-15.0,16.6
1.7,-15.83,-15.0,17.1
1.75,-15.59,-15.0,17.6
1.8,-15.34,-15.0,18.1
1.85,-15.08,-15.0,18.6
1.9,-14.81,-15.0,19.2
1.95,-14.54,-15.0,19.7
2.0,-14.26,-15.0,20.2
2.05,-13.97,-15.0,20.7
2.1,-13.68,-15.0,21.2
2.15,-13.38,-15.0,21.7
2.2,-13.07,-15.0,22.2
2.25,-12.75,-15.0,22.7
2.3,-12.43,-15.0,23.2
2.35,-12.1,-15.0,23.7
2.4,-11.77,-15.0,24.2
2.45,-11.42,-15.0,24.7
2.5,-11.07,-15.0,25.2
2.55,-10.72,-15.0,25.7
2.6,-10.35,-15.0,26.2
2.65,-9.98,-15.0,26.7
2.7,-9.61,-15.0,27.2
2.75,-9.22,-15.0,27.7
2.8,-8.83,-15.0,28.2
2.85,-8.43,-15.0,28.7
2.9,-8.02,-15.0,29.2
2.95,-7.61,-15.0,29.7
3.0,-7.19,-15.0,30.2
3.05,-6.76,-15.0,30.7
3.1,-6.33,-15.0,31.2
3.15,-5.89,-15.0,31.8
3.2,-5.44,-15.0,32.3
3.25,-4.99,-15.0,32.8
3.3,-4.52,-15.0,33.3
3.35,-4.05,-15.0,33.8
3.4,-3.58,-15.0,34.3
3.45,-3.1,-15.0,34.8
3.5,-2.61,-15.0,35.3
3.55,-2.11,-15.0,35.8
3.6,-1.6,-15.0,36.3
3.65,-1.09,-15.0,36.8
3.7,-0.58,-15.0,37.3
3.75,-0.05,-15.0,37.8
3.8,0.48,-15.0,38.3
3.85,1.02,-15.0,38.8
3.9,1.57,-15.0,39.3
3.95,2.12,-15.0,39.8
4.0,2.68,-15.0,40.3
4.05,3.25,-15.0,40.8
4.1,3.82,-15.0,41.3
4.15,4.4,-15.0,41.8
4.2,4.99,-15.0,42.3
4.25,5.58,-15.0,42.8
4.3,6.19,-15.0,43.3
4.35,6.8,-15.0,43.8
4.4,7.41,-15.0,44.4
4.45,8.03,-15.0,44.9
4.5,8.66,-15.0,45.4
4.55,9.3,-15.0,45.9
4.6,9.95,-15.0,46.4
4.65,10.6,-15.0,46.9
4.7,11.25,-14.99,47.4
4.75,11.92,-14.98,47.8
4.8,12.59,-14.97,48.1
4.85,13.26,-14.96,48.4
4.9,13.94,-14.93,48.7
4.95,14.61,-14.9,48.9
5.0,15.29,-14.87,49.0
5.05,15.97,-14.82,49.1
5.1,16.65,-14.75,49.3
5.15,17.34,-14.68,49.3
5.2,18.02,-14.59,49.4
5.25,18.7,-14.48,49.5
5.3,19.37,-14.36,49.5
5.35,20.05,-14.21,49.6
5.4,20.71,-14.05,49.6
5.45,21.38,-13.86,49.6
5.5,22.04,-13.66,49.7
5.55,22.69,-13.43,49.7
5.6,23.33,-13.17,49.7
5.65,23.96,-12.89,49.7
5.7,24.58,-12.59,49.7
5.75,25.19,-12.26,49.7
5.8,25.78,-11.91,49.7
5.85,26.36,-11.53,49.7
5.9,26.92,-11.12,49.7
5.95,27.46,-10.69,49.8
6.0,27.98,-10.24,49.8
6.05,28.48,-9.76,49.8
6.1,28.95,-9.26,49.8
6.15,29.41,-8.73,49.8
6.2,29.83,-8.19,49.8
6.25,30.23,-7.62,49.8
6.3,30.59,-7.04,49.8
6.35,30.93,-6.43,49.8
6.4,31.24,-5.82,49.8
6.45,31.52,-5.18,49.8
6.5,31.76,-4.53,49.8
6.55,31.97,-3.88,49.8
6.6,32.14,-3.21,49.8
6.65,32.28,-2.53,49.8
6.7,32.39,-1.85,49.8
6.75,32.45,-1.16,49.8
6.8,32.48,-0.47,49.8
6.85,32.48,0.22,49.8
6.9,32.43,0.91,49.8
6.95,32.35,1.6,49.8
7.0,32.23,2.28,49.8
7.05,32.07,2.95,49.8
7.1,31.88,3.62,49.8
7.15,31.65,4.27,49.8
7.2,31.39,4.91,49.8
7.25,31.09,5.53,49.8
7.3,30.76,6.14,49.8
7.35,30.39,6.73,49.8
7.4,30.0,7.29,49.8
7.45,29.57,7.84,49.8
7.5,29.12,8.36,49.8
7.55,28.63,8.85,49.8
7.6,28.12,9.32,49.8
7.65,27.59,9.76,49.8
7.7,27.04,10.18,49.8
7.75,26.47,10.57,49.8
7.8,25.88,10.94,49.8
7.85,25.28,11.28,49.8
7.9,24.67,11.6,49.8
7.95,24.04,11.89,49.8
8.0,23.41,12.17,49.8
8.05,22.77,12.42,49.8
8.1,22.12,12.65,49.8
8.15,21.46,12.87,49.8
8.2,20.8,13.07,49.8
8.25,20.13,13.25,49.8
8.3,19.46,13.41,49.8
8.35,18.78,13.57,49.8
8.4,18.11,13.7,49.8
8.45,17.43,13.83,49.8
8.5,16.75,13.94,49.8
8.55,16.06,14.05,49.8
8.6,15.38,14.14,49.8
8.65,14.69,14.22,49.8
8.7,14.0,14.3,49.8
8.75,13.32,14.37,49.8
8.8,12.63,14.43,49.8
8.85,11.94,14.49,49.8
8.9,11.25,14.54,49.8
8.95,10.56,14.58,49.8
9.0,9.87,14.62,49.8
9.05,9.18,14.66,49.8
9.1,8.49,14.69,49.8
9.15,7.8,14.72,49.8
9.2,7.11,14.75,49.8
9.25,6.42,14.77,49.8
9.3,5.72,14.79,49.8
9.35,5.03,14.81,49.8
9.4,4.34,14.83,49.8
9.45,3.65,14.85,49.8
9.5,2.96,14.86,49.8
9.55,2.27,14.87,49.8
9.6,1.58,14.88,49.8
9.65,0.89,14.89,49.8
9.7,0.2,14.9,49.8
9.75,-0.5,14.91,49.8
9.8,-1.19,14.92,49.8
9.85,-1.88,14.93,49.8
9.9,-2.57,14.93,49.8
9.95,-3.26,14.94,49.8
10.0,-3.95,14.94,49.8
10.05,-4.64,14.95,49.8
10.1,-5.33,14.95,49.8
10.15,-6.03,14.95,49.8
10.2,-6.72,14.96,49.8
10.25,-7.41,14.96,49.8
10.3,-8.1,14.96,49.8
10.35,-8.79,14.97,49.8
10.4,-9.48,14.97,49.8
10.45,-10.17,14.97,49.8
10.5,-10.87,14.97,49.8
10.55,-11.56,14.96,49.8
10.6,-12.25,14.96,49.8
10.65,-12.94,14.94,49.8
10.7,-13.63,14.93,49.8
10.75,-14.32,14.9,49.8
10.8,-15.01,14.87,49.8
10.85,-15.7,14.82,49.8
10.9,-16.39,14.76,49.8
10.95,-17.08,14.69,49.8
11.0,-17.76,14.61,49.8
11.05,-18.45,14.51,49.8
11.1,-19.13,14.39,49.8
11.15,-19.81,14.25,49.8
11.2,-20.48,14.1,49.8
11.25,-21.15,13.92,49.8
11.3,-21.81,13.72,49.8
11.35,-22.46,13.49,49.8
11.4,-23.11,13.25,49.8
11.45,-23.74,12.97,49.8
11.5,-24.37,12.68,49.8
11.55,-24.98,12.36,49.8
11.6,-25.58,12.01,49.8
11.65,-26.16,11.64,49.8
11.7,-26.73,11.24,49.8
11.75,-27.28,10.82,49.8
11.8,-27.8,10.37,49.8
11.85,-28.31,9.9,49.8
11.9,-28.8,9.41,49.8
11.95,-29.26,8.89,49.8
12.0,-29.69,8.36,49.8
12.05,-30.1,7.8,49.8
12.1,-30.48,7.22,49.8
12.15,-30.83,6.62,49.8
12.2,-31.15,6.01,49.8
12.25,-31.43,5.38,49.8
12.3,-31.69,4.74,49.8
12.35,-31.91,4.09,49.8
12.4,-32.1,3.42,49.8
12.45,-32.25,2.74,49.8
12.5,-32.36,2.06,49.8
12.55,-32.44,1.38,49.8
12.6,-32.48,0.69,49.8
12.65,-32.48,-0.01,49.8
12.7,-32.45,-0.7,49.8
12.75,-32.38,-1.38,49.8
12.8,-32.27,-2.07,49.8
12.85,-32.13,-2.74,49.8
12.9,-31.95,-3.41,49.8
12.95,-31.73,-4.07,49.8
13.0,-31.48,-4.71,49.8
13.05,-31.19,-5.34,49.8
13.1,-30.87,-5.95,49.8
13.15,-30.51,-6.54,49.8
13.2,-30.13,-7.12,49.8
13.25,-29.71,-7.67,49.8
13.3,-29.26,-8.19,49.8
13.35,-28.78,-8.7,49.8
13.4,-28.28,-9.17,49.8
13.45,-27.76,-9.62,49.8
13.5,-27.21,-10.05,49.8
13.55,-26.7,-10.51,49.8
13.6,-26.15,-10.93,49.8
13.65,-25.59,-11.33,49.8
13.7,-25.0,-11.69,49.8
13.75,-24.39,-12.03,49.8
13.8,-23.77,-12.33,49.8
13.85,-23.14,-12.61,49.8
13.9,-22.5,-12.87,49.8
13.95,-21.85,-13.1,49.8
14.0,-21.19,-13.31,49.8
14.05,-20.53,-13.5,49.8
14.1,-19.86,-13.68,49.8
14.15,-19.18,-13.83,49.8
14.2,-18.51,-13.97,49.8
